alpha,attack,defense,source,cfg,seed,exp,epoch,test_acc,test_acc_pct,test_loss,path
1,MinSum,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,42,0,199,0.507600,50.7600,0.027900,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_Mean_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_config_exp0.txt
1,MinSum,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,43,1,199,0.508000,50.8000,0.027800,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_Mean_200_20_0.05_FedAvg_adv0.2_seed43_alpha1_cfgFedAvg_CIFAR100_config_exp1.txt
1,MinSum,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,44,2,199,0.509100,50.9100,0.028000,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_Mean_200_20_0.05_FedAvg_adv0.2_seed44_alpha1_cfgFedAvg_CIFAR100_config_exp2.txt
1,MinSum,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,45,3,199,0.497200,49.7200,0.029100,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_Mean_200_20_0.05_FedAvg_adv0.2_seed45_alpha1_cfgFedAvg_CIFAR100_config_exp3.txt
1,MinSum,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,46,4,199,0.503100,50.3100,0.028600,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_Mean_200_20_0.05_FedAvg_adv0.2_seed46_alpha1_cfgFedAvg_CIFAR100_config_exp4.txt
1,MinSum,MultiKrum,legacy_public_baseline,FedAvg_CIFAR100_config,42,0,199,0.493800,49.3800,0.028700,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_MultiKrum_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_config_exp0.txt
1,MinSum,MultiKrum,legacy_public_baseline,FedAvg_CIFAR100_config,43,1,199,0.466000,46.6000,0.030900,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_MultiKrum_200_20_0.05_FedAvg_adv0.2_seed43_alpha1_cfgFedAvg_CIFAR100_config_exp1.txt
1,MinSum,MultiKrum,legacy_public_baseline,FedAvg_CIFAR100_config,44,2,199,0.479800,47.9800,0.030000,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_MultiKrum_200_20_0.05_FedAvg_adv0.2_seed44_alpha1_cfgFedAvg_CIFAR100_config_exp2.txt
1,MinSum,MultiKrum,legacy_public_baseline,FedAvg_CIFAR100_config,45,3,199,0.467600,46.7600,0.030900,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_MultiKrum_200_20_0.05_FedAvg_adv0.2_seed45_alpha1_cfgFedAvg_CIFAR100_config_exp3.txt
1,MinSum,MultiKrum,legacy_public_baseline,FedAvg_CIFAR100_config,46,4,199,0.478400,47.8400,0.030100,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_MultiKrum_200_20_0.05_FedAvg_adv0.2_seed46_alpha1_cfgFedAvg_CIFAR100_config_exp4.txt
