iid,alpha,num_clients,attack,defense,mean,std,n,seeds,last_epoch_min,last_epoch_max
non-iid,1,40,MinMax,TriGuardFL,0.02572,0.0006968500556073739,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,Mean,0.026119999999999997,0.000655438784326957,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,NormClipping,0.04838,0.00028565713714171414,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,MultiKrum,0.02842,0.0012749901960407378,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,FLTrust,0.04048,0.000337045990927054,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,FLDetector,0.026000000000000002,0.000562138772902208,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,TriGuardFL,0.025739999999999996,0.0005003998401278716,5,"42,43,44,45,46",199,199
non-iid,1,40,NoAttack,NoAttack+Mean(Base),0.025140000000000003,0.0005535341001239226,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,Mean,0.027140000000000004,0.00041761226035642217,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,NormClipping,0.04696,0.00027276363393971597,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,MultiKrum,0.04515999999999999,0.00029393876913397953,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,FLTrust,0.04102,0.0003310589071449373,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,FLDetector,0.02898,0.000299332590941915,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,TriGuardFL,0.02708,0.00029933259094191473,5,"42,43,44,45,46",199,199
non-iid,1,60,FangAttack,Mean,0.038650000000000004,0.0023500000000000014,2,"42,43",175,199
non-iid,1,60,FangAttack,NormClipping,0.0593,0.003700000000000002,2,"42,43",153,199
non-iid,1,60,FangAttack,MultiKrum,0.0303,0.0010999999999999985,2,"42,43",129,199
non-iid,1,60,FangAttack,FLTrust,0.042666666666666665,0.002718251071716681,3,"42,43,44",85,199
non-iid,1,60,FangAttack,FLDetector,0.0484,0.0006999999999999992,2,"42,43",161,199
non-iid,1,60,FangAttack,TriGuardFL,0.026,0.0011000000000000003,2,"42,43",115,199
non-iid,1,60,MinMax,Mean,0.025,0.0002756809750418043,5,"42,43,44,45,46",199,199
non-iid,1,60,MinMax,NormClipping,0.048375,0.0011945187315400292,4,"42,43,44,45",133,199
non-iid,1,60,MinMax,MultiKrum,0.025839999999999995,0.00045869379764718797,5,"42,43,44,45,46",199,199
non-iid,1,60,MinMax,FLTrust,0.040139999999999995,0.0003498571136907192,5,"42,43,44,45,46",199,199
non-iid,1,60,MinMax,FLDetector,0.02472,0.0003187475490101839,5,"42,43,44,45,46",199,199
non-iid,1,60,MinMax,TriGuardFL,0.0247,0.0003286335345030998,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,Mean,0.02488,0.000278567765543682,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,NormClipping,0.048620000000000003,0.0003187475490101844,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,MultiKrum,0.027479999999999997,0.0008772684879784519,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,FLTrust,0.04052,0.0005192301994298857,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,FLDetector,0.0249,0.0003687817782917159,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,TriGuardFL,0.02472,0.00024000000000000058,5,"42,43,44,45,46",199,199
non-iid,1,60,NoAttack,NoAttack+Mean(Base),0.0245,0.0003949683531626297,5,"42,43,44,45,46",199,199
non-iid,0.5,20,ALIE,Mean,0.03028,0.00048332183894378265,5,"42,43,44,45,46",199,199
non-iid,0.5,20,ALIE,NormClipping,0.048639999999999996,0.0004127953488110068,5,"42,43,44,45,46",199,199
non-iid,0.5,20,ALIE,MultiKrum,0.0382,0.0007127411872482177,5,"42,43,44,45,46",199,199
non-iid,0.5,20,ALIE,FLTrust,0.04202,0.00045343136195018566,5,"42,43,44,45,46",199,199
non-iid,0.5,20,ALIE,FLDetector,0.03194,0.00036660605559646505,5,"42,43,44,45,46",199,199
non-iid,0.5,20,ALIE,TriGuardFL,0.03014,0.00033226495451672367,5,"42,43,44,45,46",199,199
non-iid,0.5,20,FangAttack,Mean,0.03024,0.0005748043145279965,5,"42,43,44,45,46",199,199
non-iid,0.5,20,FangAttack,NormClipping,0.0517,0.0009797958971132707,5,"42,43,44,45,46",199,199
non-iid,0.5,20,FangAttack,MultiKrum,0.04068000000000001,0.0008997777503361595,5,"42,43,44,45,46",199,199
non-iid,0.5,20,FangAttack,FLTrust,0.04168,0.0004399999999999997,5,"42,43,44,45,46",199,199
non-iid,0.5,20,FangAttack,FLDetector,0.045779999999999994,0.0009947864092356715,5,"42,43,44,45,46",199,199
non-iid,0.5,20,FangAttack,TriGuardFL,0.028999999999999998,0.0002756809750418043,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinMax,Mean,0.02928,0.0001326649916142152,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinMax,NormClipping,0.049659999999999996,0.0004029888335921991,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinMax,MultiKrum,0.030619999999999998,0.00056,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinMax,FLTrust,0.04174,0.0005122499389946292,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinMax,FLDetector,0.02938,0.0003655133376499412,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinMax,TriGuardFL,0.02924,0.0003826225293941804,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinSum,Mean,0.029320000000000002,0.0003762977544445353,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinSum,NormClipping,0.0498,0.0003577708763999673,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinSum,MultiKrum,0.030780000000000002,0.0005268775948927805,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinSum,FLTrust,0.0417,0.00036878177829171633,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinSum,FLDetector,0.029220000000000003,0.000416653333119993,5,"42,43,44,45,46",199,199
non-iid,0.5,20,MinSum,TriGuardFL,0.029220000000000003,0.0006305553108173775,5,"42,43,44,45,46",199,199
non-iid,0.5,20,NoAttack,NoAttack+Mean(Base),0.027800000000000002,0.0004857983120596445,5,"42,43,44,45,46",199,199
non-iid,0.5,40,ALIE,Mean,0.028959999999999996,0.00030066592756745767,5,"42,43,44,45,46",199,199
non-iid,0.5,40,ALIE,NormClipping,0.04822,0.0005153639490690047,5,"42,43,44,45,46",199,199
non-iid,0.5,40,ALIE,MultiKrum,0.04481999999999999,0.0007934733769950949,5,"42,43,44,45,46",199,199
non-iid,0.5,40,ALIE,FLTrust,0.0422,0.00015491933384829842,5,"42,43,44,45,46",199,199
non-iid,0.5,40,ALIE,FLDetector,0.031059999999999997,0.0006437390775772439,5,"42,43,44,45,46",199,199
non-iid,0.5,40,ALIE,TriGuardFL,0.02904,0.00040298883359219794,5,"42,43,44,45,46",199,199
non-iid,0.5,40,FangAttack,Mean,0.043460000000000006,0.0024204131878668993,5,"42,43,44,45,46",199,199
non-iid,0.5,40,FangAttack,NormClipping,0.05602,0.0004833218389437839,5,"42,43,44,45,46",199,199
non-iid,0.5,40,FangAttack,MultiKrum,0.03273999999999999,0.0004543126676640216,5,"42,43,44,45,46",199,199
non-iid,0.5,40,FangAttack,FLTrust,0.04152,0.0003969886648255837,5,"42,43,44,45,46",199,199
non-iid,0.5,40,FangAttack,FLDetector,0.05722000000000001,0.003208364069116845,5,"42,43,44,45,46",199,199
non-iid,0.5,40,FangAttack,TriGuardFL,0.0267,0.00037416573867739446,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinMax,Mean,0.026759999999999996,0.00034409301068170564,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinMax,NormClipping,0.048960000000000004,0.0005642694391866346,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinMax,MultiKrum,0.027860000000000003,0.0005314132102234565,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinMax,FLTrust,0.04144,0.0004630334761116089,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinMax,FLDetector,0.02666,0.0002870540018881464,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinMax,TriGuardFL,0.02656,0.0003006659275674576,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinSum,Mean,0.026839999999999996,0.00038262252939417997,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinSum,NormClipping,0.0496,0.0008173126696681025,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinSum,MultiKrum,0.029259999999999998,0.001265859391875733,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinSum,FLTrust,0.04162,0.0004399999999999993,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinSum,FLDetector,0.0268,0.0003577708763999665,5,"42,43,44,45,46",199,199
non-iid,0.5,40,MinSum,TriGuardFL,0.026499999999999996,0.00016733200530681533,5,"42,43,44,45,46",199,199
non-iid,0.5,40,NoAttack,NoAttack+Mean(Base),0.02592,0.0002925747767665557,5,"42,43,44,45,46",199,199
non-iid,0.5,60,ALIE,Mean,0.02838,0.0006554387843269576,5,"42,43,44,45,46",199,199
non-iid,0.5,60,ALIE,NormClipping,0.04792,0.00039698866482558215,5,"42,43,44,45,46",199,199
non-iid,0.5,60,ALIE,MultiKrum,0.04717999999999999,0.0008471127433818947,5,"42,43,44,45,46",199,199
non-iid,0.5,60,ALIE,FLTrust,0.042179999999999995,0.0005268775948927785,5,"42,43,44,45,46",199,199
non-iid,0.5,60,ALIE,FLDetector,0.03034,0.0005817215828899596,5,"42,43,44,45,46",199,199
non-iid,0.5,60,ALIE,TriGuardFL,0.028519999999999997,0.000630555310817378,5,"42,43,44,45,46",199,199
non-iid,0.5,60,FangAttack,Mean,0.03835,0.0002500000000000002,2,"42,43",192,199
non-iid,0.5,60,FangAttack,NormClipping,0.05745,0.0011499999999999982,2,"42,43",176,199
non-iid,0.5,60,FangAttack,MultiKrum,0.03155,0.0006499999999999995,2,"42,43",130,199
non-iid,0.5,60,FangAttack,FLTrust,0.0431,0.0020542638584174137,3,"42,43,44",99,199
non-iid,0.5,60,FangAttack,FLDetector,0.0449,0.0011999999999999997,2,"42,43",173,199
non-iid,0.5,60,FangAttack,TriGuardFL,0.0264,0.00040000000000000105,2,"42,43",142,199
non-iid,0.5,60,MinMax,Mean,0.025979999999999996,0.0004749736834815169,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinMax,NormClipping,0.04872,0.000348711915483252,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinMax,MultiKrum,0.02732,0.0012952219886953747,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinMax,FLTrust,0.04114,0.0004923413450036476,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinMax,FLDetector,0.02596,0.000516139516022558,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinMax,TriGuardFL,0.025500000000000005,0.0002828427124746188,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinSum,Mean,0.026019999999999998,0.0005035871324805674,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinSum,NormClipping,0.049640000000000004,0.0003720215047547646,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinSum,MultiKrum,0.028859999999999997,0.001321514282934544,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinSum,FLTrust,0.041800000000000004,0.0005366563145999506,5,"42,43,44,45,46",199,199
